iter	Passed	Remaining
0	83	16632
1	177	17568
2	263	17322
3	329	16162
4	405	15831
5	484	15679
6	544	15005
7	602	14456
8	657	13960
9	706	13430
10	767	13190
11	823	12893
12	877	12618
13	928	12333
14	976	12044
15	1021	11744
16	1066	11476
17	1119	11321
18	1169	11140
19	1215	10936
20	1260	10741
21	1305	10560
22	1350	10393
23	1401	10277
24	1447	10134
25	1493	9991
26	1549	9929
27	1597	9810
28	1641	9679
29	1687	9559
30	1731	9440
31	1776	9324
32	1820	9214
33	1868	9121
34	1913	9020
35	1957	8919
36	2002	8821
37	2047	8727
38	2091	8634
39	2145	8581
40	2190	8495
41	2235	8410
42	2280	8326
43	2328	8255
44	2372	8173
45	2417	8092
46	2461	8013
47	2520	7980
48	2565	7906
49	2610	7831
50	2655	7757
51	2699	7684
52	2744	7612
53	2790	7543
54	2835	7474
55	2884	7416
56	2929	7348
57	2974	7281
58	3018	7214
59	3063	7147
60	3107	7082
61	3155	7024
62	3200	6959
63	3245	6896
64	3292	6837
65	3336	6774
66	3381	6712
67	3426	6652
68	3478	6603
69	3528	6552
70	3572	6491
71	3618	6432
72	3663	6373
73	3707	6313
74	3758	6264
75	3804	6206
76	3848	6148
77	3893	6089
78	3938	6032
79	3983	5975
80	4028	5918
81	4073	5861
82	4123	5812
83	4173	5762
84	4220	5709
85	4268	5658
86	4315	5605
87	4362	5552
88	4409	5499
89	4456	5446
90	4523	5418
91	4571	5366
92	4617	5312
93	4662	5257
94	4706	5201
95	4751	5147
96	4796	5093
97	4841	5039
98	4887	4986
99	4932	4932
100	4977	4879
101	5022	4825
102	5067	4772
103	5112	4719
104	5172	4679
105	5217	4627
106	5267	4578
107	5313	4526
108	5358	4473
109	5403	4421
110	5447	4368
111	5492	4315
112	5551	4274
113	5597	4222
114	5643	4171
115	5688	4118
116	5731	4066
117	5774	4013
118	5818	3960
119	5862	3908
120	5906	3856
121	5949	3803
122	5993	3751
123	6038	3700
124	6081	3648
125	6125	3597
126	6180	3552
127	6229	3503
128	6272	3452
129	6316	3401
130	6360	3350
131	6404	3299
132	6448	3248
133	6492	3197
134	6555	3156
135	6600	3106
136	6644	3055
137	6688	3005
138	6733	2954
139	6777	2904
140	6820	2853
141	6864	2803
142	6908	2753
143	6952	2703
144	6996	2653
145	7040	2603
146	7084	2554
147	7128	2504
148	7179	2457
149	7223	2407
150	7271	2359
151	7315	2310
152	7362	2261
153	7406	2212
154	7450	2163
155	7495	2114
156	7540	2065
157	7584	2016
158	7627	1966
159	7673	1918
160	7718	1869
161	7767	1821
162	7813	1773
163	7856	1724
164	7900	1675
165	7948	1627
166	7991	1579
167	8035	1530
168	8079	1482
169	8123	1433
170	8174	1386
171	8218	1337
172	8262	1289
173	8306	1241
174	8350	1192
175	8399	1145
176	8443	1097
177	8486	1048
178	8530	1000
179	8593	954
180	8637	906
181	8680	858
182	8724	810
183	8768	762
184	8811	714
185	8856	666
186	8900	618
187	8944	570
188	8988	523
189	9034	475
190	9077	427
191	9122	380
192	9166	332
193	9211	284
194	9254	237
195	9298	189
196	9342	142
197	9393	94
198	9436	47
199	9482	0
