,Image_name,Image_url
0,Accuracy,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2b9085229c3731ef1fc/1539363515962/Accuracy_web.png
1,AdaBoost,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2b971c10b49df59b27c/1539363515847/AdaBoost_web.png
2,Adjusted_R-Squared,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bae5e5f0c22ccc820d/1539363517232/Adjusted_R-Squared_web.png
3,Aggomerative_Clustering,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bae2c483f1ebac7433/1539363516914/Aggomerative_Clustering_web.png
4,AIC,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bb53450ae7c17f4dfa/1539363517978/AIC_web.png
5,Almost_Everywhere,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bb71c10b49df59b297/1539363518806/Almost_Everywhere_web.png
6,Alpha_In_Ridge_Regression,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bc8165f5ad87084572/1539363518390/Alpha_In_Ridge_Regression_web.png
7,Anscombes_Quartet,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bdb208fc1df53bca8a/1539363519741/Anscombes_Quartet_web.png
8,Architecture_Of_A_Neural_Network,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bd652dea62336cbdda/1539363519760/Architecture_Of_A_Neural_Network_web.png
9,Area_Under_The_Curve,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2be0d929751ee48d170/1539363520765/Area_Under_The_Curve_web.png
10,Avoid_Overfitting,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bef4e1fc14884b491d/1539363521189/Avoid_Overfitting_web.png
11,BackProp,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bf15fcc03e6551a17d/1539363521987/BackProp_web.png
12,Bag_Of_Words,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2bf4785d3d1fc969966/1539363521735/Bag_Of_Words_web.png
13,Bagging_Vs_Dropout,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c0eef1a1c6b7084fe7/1539363522995/Bagging_Vs_Dropout_web.png
14,Bagging,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c0b208fc1df53bcabe/1539363523171/Bagging_web.png
15,Basic_Parts_Of_Deep_Learning,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c1c830257001143f5f/1539363523550/Basic_Parts_Of_Deep_Learning_web.png
16,Bayes_Error,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c115fcc03e6551a199/1539363524204/Bayes_Error_web.png
17,Bayes_Theorem,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c29140b7caf2f4f36b/1539363524266/Bayes_Theorem_web.png
18,Bayesian_Methods_Pros_And_Cons,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c2e2c483f1ebac7483/1539363527529/Bayesian_Methods_Pros_And_Cons_web.png
19,Bias,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c3a4222f3ac53da668/1539363526557/Bias_web.png
20,Bias-Variance_Tradeoff,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c3e79c70941ed9140a/1539363526019/Bias-Variance_Tradeoff_web.png
21,Big_O,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c4eef1a1c6b708501b/1539363526629/Big_O_web.png
22,Boosting,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c47817f7b0e23c037e/1539363526583/Boosting_web.png
23,Bootstrap,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c50d929751ee48d1b4/1539363527599/Bootstrap_web.png
24,Brier_Score,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c5e79c70941ed91422/1539363527281/Brier_Score_web.png
25,C,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c615fcc03e6551a1d1/1539363528777/C_web.png
26,Capacity,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c7e79c70941ed91438/1539363528942/Capacity_web.png
27,Categorical_Feature,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c87817f7b0e23c039b/1539363530759/Categorical_Feature_web.png
28,Chain_Rule_Of_Calculus,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2c853450ae7c17f4e90/1539363530519/Chain_Rule_Of_Calculus_web.png
